NombreChequeador,FechaDespacho,HoraDespacho,Carrier,NumeroGuia,CantidadDespachada,PaisDestino,ClienteID
Victor Arias B,2012-05-25,9:00:00,FedEx,GTM-RIDGO3O1GSTQOM,1,Guatemala,312
Juan Gomez H,2012-05-25,10:00:00,FedEx,NIC-I4Q8NPD935S0OE,1,Nicaragua,190
Juan Gomez H,2012-05-25,13:00:00,UPS,PAN-XYAKR80TGO1ZPH,1,Panama,185
Victor Arias B,2012-05-25,12:00:00,DHL,GTM-5DGGZW6NFSBUDF,2,Guatemala,99
Juan Gomez H,2012-05-26,10:00:00,Correos de Costa Rica,PAN-UDJBAUY4CXZUIU,2,Panama,267
Pedro Rodriguez O,2012-05-26,12:00:00,GoPato,GTM-N66DP7M2DYBVNP,2,Guatemala,223
Javier Viquez T,2012-05-26,8:00:00,UPS,CRC-0CZAH2AGDLFD1O,2,Costa Rica,309
Juan Gomez H,2012-05-26,9:00:00,GoPato,PAN-VQUE55SHM6F6U1,1,Panama,256
Javier Viquez T,2012-05-26,9:00:00,FedEx,PAN-XL52KMW9HY2OMP,1,Panama,204
Pedro Rodriguez O,2012-05-27,8:00:00,GoPato,GTM-APKHEKZQ6EJSGQ,1,Guatemala,134
Pedro Rodriguez O,2012-05-27,13:00:00,FedEx,GTM-LA3TTAJYF2JVAJ,3,Guatemala,129
Javier Viquez T,2012-05-27,11:00:00,FedEx,PAN-UZLN6UXK9LXTKN,3,Panama,24
Melissa Hernandez C,2012-05-28,12:00:00,Correos de Costa Rica,PAN-8DO9ETFFFUFDQ0,2,Panama,371
Javier Viquez T,2012-05-28,12:00:00,UPS,GTM-02UU02NACI9BVU,1,Guatemala,368
Javier Viquez T,2012-05-28,11:00:00,GoPato,GTM-CHM5W4W6RD0KD6,1,Guatemala,96
Victor Arias B,2012-05-28,10:00:00,Correos de Costa Rica,CRC-R577O42AVJ46Q2,1,Costa Rica,108
Pedro Rodriguez O,2012-05-28,12:00:00,FedEx,CRC-PI4QZURM0LPEZ4,1,Costa Rica,349
Javier Viquez T,2012-05-28,9:00:00,Correos de Costa Rica,GTM-Z5LSLJHURZF8RP,1,Guatemala,73
Pedro Rodriguez O,2012-05-28,7:00:00,DHL,GTM-ZEARB5NYMDL1ES,2,Guatemala,135
Javier Viquez T,2012-05-29,7:00:00,GoPato,NIC-DSWVX7L40U1G2V,2,Nicaragua,414
Pedro Rodriguez O,2012-05-29,10:00:00,DHL,CRC-1SA8LPHQO57YKG,3,Costa Rica,346
Melissa Hernandez C,2012-05-29,7:00:00,FedEx,GTM-JCKUXFBWSV9ACS,2,Guatemala,140
Pedro Rodriguez O,2012-05-30,11:00:00,Correos de Costa Rica,GTM-98RTBN3Q0PO7Y7,1,Guatemala,26
Victor Arias B,2012-05-30,9:00:00,FedEx,CRC-WCKJ5DUXRWHR32,1,Costa Rica,426
Melissa Hernandez C,2012-05-30,11:00:00,FedEx,NIC-20K50HJRGFDLLL,1,Nicaragua,244
Melissa Hernandez C,2012-05-30,10:00:00,DHL,PAN-KQFVWKLIQ010UW,2,Panama,5
Pedro Rodriguez O,2012-05-30,9:00:00,DHL,GTM-WKGM1EV0NJJ2GX,3,Guatemala,368
Victor Arias B,2012-05-30,7:00:00,Correos de Costa Rica,CRC-ORC5QLOC3IBST0,1,Costa Rica,270
Melissa Hernandez C,2012-05-31,12:00:00,GoPato,PAN-UVY4F69BWQSU9N,3,Panama,3
Juan Gomez H,2012-05-31,13:00:00,DHL,PAN-6PCPASJ21MS5YQ,2,Panama,308
Javier Viquez T,2012-05-31,12:00:00,FedEx,CRC-WVKGLAXYMRBGTL,1,Costa Rica,387
Juan Gomez H,2012-05-31,10:00:00,DHL,PAN-CBQTUNF5PL553U,3,Panama,282
Javier Viquez T,2012-06-01,13:00:00,UPS,NIC-RWY83X51OWRFOT,3,Nicaragua,183
Pedro Rodriguez O,2012-06-01,7:00:00,FedEx,GTM-K3R03OH1GOJL4J,2,Guatemala,35
Victor Arias B,2012-06-01,9:00:00,FedEx,CRC-3UMYUGHHM9GT3S,3,Costa Rica,251
Victor Arias B,2012-06-01,11:00:00,UPS,NIC-K6S4MT7RULT8F8,2,Nicaragua,116
Victor Arias B,2012-06-02,13:00:00,UPS,NIC-94W0CCDNHAMMG6,2,Nicaragua,236
Juan Gomez H,2012-06-02,8:00:00,Correos de Costa Rica,CRC-UDAGE4E3GS9U2I,2,Costa Rica,417
Victor Arias B,2012-06-02,13:00:00,UPS,NIC-QYKQRLLSG2YPRQ,3,Nicaragua,287
Melissa Hernandez C,2012-06-02,11:00:00,UPS,GTM-942GYMGTX7ADE3,1,Guatemala,223
Javier Viquez T,2012-06-02,13:00:00,DHL,NIC-04NK9QV3IPFWSP,3,Nicaragua,416
Javier Viquez T,2012-06-03,7:00:00,DHL,GTM-TIH87VDU5Q6JWJ,3,Guatemala,428
Pedro Rodriguez O,2012-06-03,12:00:00,Correos de Costa Rica,GTM-0FPQDNQ4GTEV2F,3,Guatemala,101
Victor Arias B,2012-06-03,8:00:00,GoPato,NIC-LLV16RVIWIFQN5,3,Nicaragua,275
Melissa Hernandez C,2012-06-03,11:00:00,DHL,GTM-N7S5QHZ4A5MWMG,3,Guatemala,4
Pedro Rodriguez O,2012-06-04,11:00:00,DHL,NIC-VM9G87UNCTVUKZ,3,Nicaragua,55
Juan Gomez H,2012-06-04,12:00:00,DHL,GTM-E51TMD102J7C88,3,Guatemala,58
Victor Arias B,2012-06-04,9:00:00,UPS,CRC-5HFRQETAIRA4DP,2,Costa Rica,64
Juan Gomez H,2012-06-04,10:00:00,Correos de Costa Rica,CRC-W1DES0UUHGRBPC,1,Costa Rica,288
Melissa Hernandez C,2012-06-04,13:00:00,FedEx,GTM-KRQHZYZLOJN4HL,1,Guatemala,216
Melissa Hernandez C,2012-06-05,7:00:00,UPS,GTM-53HFELZRPFL285,1,Guatemala,135
Victor Arias B,2012-06-05,8:00:00,DHL,CRC-9T3N1RFYLDMI7V,3,Costa Rica,355
Victor Arias B,2012-06-05,8:00:00,DHL,GTM-VJLFFXEAY8I0F8,3,Guatemala,291
Victor Arias B,2012-06-05,8:00:00,GoPato,CRC-GPVMARMX87USV2,1,Costa Rica,390
Pedro Rodriguez O,2012-06-05,10:00:00,Correos de Costa Rica,CRC-0IYEU8580IQUJP,2,Costa Rica,288
Victor Arias B,2012-06-06,11:00:00,Correos de Costa Rica,PAN-79EZCP4KA7I3GZ,1,Panama,153
Juan Gomez H,2012-06-06,10:00:00,UPS,GTM-X78DM2N1X28LTE,3,Guatemala,442
Juan Gomez H,2012-06-06,11:00:00,FedEx,NIC-LPX32EWW55B6LY,2,Nicaragua,292
Javier Viquez T,2012-06-06,8:00:00,FedEx,CRC-O1U8G045RZP3N3,2,Costa Rica,57
Juan Gomez H,2012-06-06,10:00:00,GoPato,GTM-ZARF46QXCPDTJH,2,Guatemala,94
Javier Viquez T,2012-06-07,8:00:00,DHL,GTM-SLHWC9H5LH0D1E,1,Guatemala,233
Juan Gomez H,2012-06-07,12:00:00,DHL,GTM-6X360E5DR5WXW7,1,Guatemala,310
Javier Viquez T,2012-06-07,10:00:00,UPS,CRC-1GXCSQG1QC0S1F,1,Costa Rica,378
Melissa Hernandez C,2012-06-07,7:00:00,FedEx,GTM-B89XHKSW2S2I9E,2,Guatemala,439
Victor Arias B,2012-06-07,10:00:00,UPS,GTM-KN8JMOY6YXZ95Z,1,Guatemala,2
Melissa Hernandez C,2012-06-07,9:00:00,GoPato,NIC-DQHYXKAG061IC8,2,Nicaragua,177
Juan Gomez H,2012-06-08,10:00:00,DHL,CRC-4WOP7LA4S7RMXD,3,Costa Rica,164
Victor Arias B,2012-06-08,7:00:00,DHL,GTM-ZG0XNQFMJYBVLB,1,Guatemala,61
Melissa Hernandez C,2012-06-08,11:00:00,FedEx,GTM-XB4AVGNNQR45Y1,2,Guatemala,407
Pedro Rodriguez O,2012-06-08,12:00:00,Correos de Costa Rica,GTM-52NZSW6W131AEA,2,Guatemala,353
Melissa Hernandez C,2012-06-08,13:00:00,FedEx,GTM-HFU65XSZ2LM2OI,3,Guatemala,290
Melissa Hernandez C,2012-06-09,7:00:00,UPS,GTM-CR15FWJ0QCKXCD,3,Guatemala,195
Pedro Rodriguez O,2012-06-09,13:00:00,DHL,CRC-0OXKPZJ11S4I3L,1,Costa Rica,253
Juan Gomez H,2012-06-09,13:00:00,GoPato,NIC-1W8SR7P1MX5UH9,2,Nicaragua,298
Victor Arias B,2012-06-09,8:00:00,DHL,NIC-OFEKUIQ1VXBB80,1,Nicaragua,189
Pedro Rodriguez O,2012-06-10,13:00:00,UPS,GTM-OIX5HZKU76TP0W,3,Guatemala,171
Javier Viquez T,2012-06-10,13:00:00,FedEx,CRC-MESAICOWI0DRH1,1,Costa Rica,38
Javier Viquez T,2012-06-10,10:00:00,Correos de Costa Rica,PAN-PI703Z2OJH855T,1,Panama,210
Javier Viquez T,2012-06-10,12:00:00,GoPato,PAN-QNVPLZFHA001OD,3,Panama,389
Juan Gomez H,2012-06-11,12:00:00,FedEx,GTM-OF8FU59Y5ZVKW1,1,Guatemala,182
Victor Arias B,2012-06-11,8:00:00,FedEx,PAN-M65NV8JTKO9L9W,2,Panama,24
Javier Viquez T,2012-06-11,10:00:00,UPS,CRC-20EF5AVWM9SYZL,3,Costa Rica,54
Melissa Hernandez C,2012-06-11,12:00:00,UPS,CRC-RV1T2V8VLNOS40,2,Costa Rica,251
Pedro Rodriguez O,2012-06-11,10:00:00,Correos de Costa Rica,CRC-MCIK1OZ2HFSN1K,3,Costa Rica,294
Juan Gomez H,2012-06-12,8:00:00,GoPato,GTM-GRG10J78HEE5F5,2,Guatemala,359
Javier Viquez T,2012-06-12,9:00:00,GoPato,NIC-BV5OP5XE1IDBZA,1,Nicaragua,384
Melissa Hernandez C,2012-06-12,10:00:00,UPS,CRC-ZNZ95SMISWP4AU,1,Costa Rica,14
Melissa Hernandez C,2012-06-12,13:00:00,FedEx,NIC-LUUJ8WDNW22WU4,1,Nicaragua,68
Pedro Rodriguez O,2012-06-12,9:00:00,Correos de Costa Rica,GTM-DLHKDH8EDJP14F,2,Guatemala,2
Juan Gomez H,2012-06-13,9:00:00,FedEx,PAN-G3TXXQW748YLVL,3,Panama,283
Melissa Hernandez C,2012-06-13,9:00:00,Correos de Costa Rica,NIC-JAS1LET485CD9Q,1,Nicaragua,384
Melissa Hernandez C,2012-06-13,7:00:00,UPS,CRC-5693DGV1I8R3MD,1,Costa Rica,46
Victor Arias B,2012-06-13,11:00:00,DHL,PAN-UQEGU02TITDRNR,1,Panama,327
Pedro Rodriguez O,2012-06-13,8:00:00,Correos de Costa Rica,GTM-B52FPT1WISH7AC,1,Guatemala,59
Victor Arias B,2012-06-13,10:00:00,Correos de Costa Rica,GTM-798BDK6SQ44F44,2,Guatemala,63
Victor Arias B,2012-06-14,13:00:00,FedEx,PAN-WIMPOXLIF78Z0U,1,Panama,446
Victor Arias B,2012-06-14,7:00:00,GoPato,NIC-VB54Q1J905OEGJ,2,Nicaragua,248
Victor Arias B,2012-06-14,7:00:00,GoPato,GTM-D13FAA4HQ73GRP,3,Guatemala,319
Melissa Hernandez C,2012-06-14,9:00:00,UPS,GTM-CQYKGYVL8JGVQW,2,Guatemala,431
Melissa Hernandez C,2012-06-14,9:00:00,GoPato,NIC-U7CU4DUQ8ESFDK,3,Nicaragua,183
Pedro Rodriguez O,2012-06-15,13:00:00,FedEx,GTM-0RUZULCASLONRI,3,Guatemala,6
Javier Viquez T,2012-06-15,7:00:00,Correos de Costa Rica,NIC-JN0WH2451VQXO3,2,Nicaragua,298
Juan Gomez H,2012-06-15,10:00:00,UPS,GTM-999AQKTIALR5VC,1,Guatemala,155
Juan Gomez H,2012-06-15,9:00:00,DHL,NIC-VCH5O9SC59SNGK,1,Nicaragua,30
Melissa Hernandez C,2012-06-15,7:00:00,GoPato,NIC-LG2FOIV4XKBRTL,1,Nicaragua,429
Juan Gomez H,2012-06-15,7:00:00,UPS,CRC-JZ7ZZKYFKGBNET,3,Costa Rica,250
Juan Gomez H,2012-06-16,9:00:00,UPS,CRC-X40F438WKR5FWD,3,Costa Rica,19
Javier Viquez T,2012-06-16,10:00:00,Correos de Costa Rica,PAN-OZB207V8JTNPEF,3,Panama,71
Javier Viquez T,2012-06-16,9:00:00,DHL,GTM-WX5QC3BLSGA5DU,2,Guatemala,216
Juan Gomez H,2012-06-16,13:00:00,GoPato,GTM-9S3JVD4EZQDOKO,2,Guatemala,386
Pedro Rodriguez O,2012-06-17,8:00:00,Correos de Costa Rica,CRC-LV5YKJ7NUVIBBH,3,Costa Rica,164
Pedro Rodriguez O,2012-06-17,11:00:00,FedEx,CRC-8FZTSGNUCMDWA2,1,Costa Rica,270
Javier Viquez T,2012-06-17,12:00:00,Correos de Costa Rica,PAN-EHG4C50NCVJ8ZY,2,Panama,392
Melissa Hernandez C,2012-06-17,10:00:00,DHL,GTM-B9UHC13YDILELV,2,Guatemala,40
Juan Gomez H,2012-06-17,9:00:00,Correos de Costa Rica,GTM-DZ1UP07P5F0OZ2,3,Guatemala,247
Victor Arias B,2012-06-18,13:00:00,GoPato,CRC-X37K0TH60VQJ0J,3,Costa Rica,337
Melissa Hernandez C,2012-06-18,11:00:00,FedEx,PAN-CC8A6H2AFFDG74,3,Panama,364
Juan Gomez H,2012-06-18,7:00:00,Correos de Costa Rica,NIC-GM1ZHJNZXY2KO4,2,Nicaragua,92
Javier Viquez T,2012-06-18,9:00:00,FedEx,PAN-SPFMMJGJ5VPV2U,3,Panama,321
Victor Arias B,2012-06-19,8:00:00,DHL,GTM-87SATS051Z0QO5,3,Guatemala,400
Javier Viquez T,2012-06-19,13:00:00,GoPato,CRC-L2FG2KOVQKB07R,1,Costa Rica,426
Juan Gomez H,2012-06-19,7:00:00,GoPato,GTM-3FB2D6Z9Z15SGD,2,Guatemala,225
Melissa Hernandez C,2012-06-19,11:00:00,FedEx,GTM-LAWCARSMORUXL3,2,Guatemala,216
Juan Gomez H,2012-06-20,9:00:00,DHL,NIC-BO38UW83Q1L8J5,3,Nicaragua,167
Juan Gomez H,2012-06-20,13:00:00,GoPato,CRC-72WI5BWXLYOXV8,2,Costa Rica,161
Melissa Hernandez C,2012-06-20,10:00:00,FedEx,GTM-SX5PD3HCA72GK3,2,Guatemala,380
Melissa Hernandez C,2012-06-20,13:00:00,Correos de Costa Rica,PAN-PT4RAZZWB43ARC,1,Panama,268
Victor Arias B,2012-06-21,9:00:00,Correos de Costa Rica,NIC-KZY7YEQPRBIK0V,1,Nicaragua,244
Victor Arias B,2012-06-21,8:00:00,UPS,NIC-UOKGMZU4BHZD6V,1,Nicaragua,70
Melissa Hernandez C,2012-06-21,12:00:00,DHL,CRC-2ZQ27XR9XTF2HE,2,Costa Rica,215
Pedro Rodriguez O,2012-06-21,13:00:00,UPS,NIC-MWV6IX0JCLZ2WG,2,Nicaragua,39
Juan Gomez H,2012-06-21,10:00:00,UPS,GTM-EO2L6XUR1XJ24S,2,Guatemala,33
Javier Viquez T,2012-06-21,12:00:00,Correos de Costa Rica,CRC-2TRY083K0K3UK8,3,Costa Rica,87
Juan Gomez H,2012-06-22,13:00:00,DHL,CRC-RQ2BRVZIBN99PM,2,Costa Rica,294
Victor Arias B,2012-06-22,10:00:00,Correos de Costa Rica,GTM-B4N3T8V2DXTKIT,3,Guatemala,23
Javier Viquez T,2012-06-22,11:00:00,DHL,GTM-A4IP6YWXNZC8AT,1,Guatemala,119
Victor Arias B,2012-06-22,11:00:00,DHL,PAN-Z5YUOWV9PLAIZ9,1,Panama,379
Pedro Rodriguez O,2012-06-22,13:00:00,GoPato,GTM-GEEHA8NAJNE3YA,2,Guatemala,445
Melissa Hernandez C,2012-06-23,9:00:00,FedEx,PAN-MYU7K0B90BBCC1,2,Panama,186
Javier Viquez T,2012-06-23,11:00:00,UPS,GTM-TO5Y27SIEVC82C,1,Guatemala,95
Pedro Rodriguez O,2012-06-23,9:00:00,GoPato,GTM-0U8ANQ0MAVGZZL,1,Guatemala,396
Juan Gomez H,2012-06-23,8:00:00,DHL,GTM-3PRX844LZNPS1U,1,Guatemala,6
Pedro Rodriguez O,2012-06-23,10:00:00,DHL,NIC-KLHJCIO2YWT7B2,2,Nicaragua,179
Victor Arias B,2012-06-23,8:00:00,DHL,NIC-F7P9W38L6NNPYQ,3,Nicaragua,356
Pedro Rodriguez O,2012-06-24,8:00:00,GoPato,CRC-PNKYMW8W0LLWT4,1,Costa Rica,57
Melissa Hernandez C,2012-06-24,11:00:00,Correos de Costa Rica,NIC-F4GI26ELPIQMVC,2,Nicaragua,18
Melissa Hernandez C,2012-06-24,8:00:00,DHL,NIC-8U527JE3PBU6AY,3,Nicaragua,325
Javier Viquez T,2012-06-24,11:00:00,FedEx,CRC-KB1PVU2BJZHBN2,1,Costa Rica,316
Javier Viquez T,2012-06-24,7:00:00,Correos de Costa Rica,GTM-QU4UYY899UJX7G,1,Guatemala,396
Victor Arias B,2012-06-25,9:00:00,FedEx,GTM-QKS10BXV8HASFC,1,Guatemala,206
Javier Viquez T,2012-06-25,9:00:00,Correos de Costa Rica,CRC-06E7CX094XW209,2,Costa Rica,262
Javier Viquez T,2012-06-25,9:00:00,GoPato,GTM-NFRHFZHFB1NDFR,3,Guatemala,200
Melissa Hernandez C,2012-06-25,8:00:00,DHL,GTM-0LOG8O7Y1RTZXZ,1,Guatemala,168
Juan Gomez H,2012-06-26,10:00:00,FedEx,GTM-CNOKSRGF4E0ZE2,1,Guatemala,407
Javier Viquez T,2012-06-26,7:00:00,DHL,PAN-LOW3M2KNYZI5P6,3,Panama,345
Juan Gomez H,2012-06-26,9:00:00,FedEx,PAN-5E71TAFD3XHF2G,1,Panama,421
Juan Gomez H,2012-06-26,7:00:00,Correos de Costa Rica,CRC-H5Y1NY7XBCQJ5U,1,Costa Rica,294
Juan Gomez H,2012-06-26,12:00:00,GoPato,GTM-P5JAUNG2GG7U7Q,2,Guatemala,155
Juan Gomez H,2012-06-27,9:00:00,Correos de Costa Rica,GTM-ULAZTC387JGBTB,3,Guatemala,26
Juan Gomez H,2012-06-27,9:00:00,Correos de Costa Rica,PAN-10NTPMCNL765OH,2,Panama,422
Javier Viquez T,2012-06-27,8:00:00,Correos de Costa Rica,NIC-I8TPJOKDLZT8AJ,1,Nicaragua,429
Victor Arias B,2012-06-27,7:00:00,FedEx,GTM-FP4WGI6SRRK726,3,Guatemala,59
Melissa Hernandez C,2012-06-28,7:00:00,FedEx,PAN-VMK3ZHYI31JDF6,1,Panama,345
Juan Gomez H,2012-06-28,9:00:00,UPS,CRC-3YMUT6LVQ2XZCS,3,Costa Rica,387
Juan Gomez H,2012-06-28,13:00:00,FedEx,CRC-4R0MXCFZGTYM1O,1,Costa Rica,144
Victor Arias B,2012-06-28,10:00:00,UPS,NIC-BE5BSPSJ6VWJV3,3,Nicaragua,292
Javier Viquez T,2012-06-28,12:00:00,DHL,PAN-7ZI3MKBV7DERWL,1,Panama,176
Melissa Hernandez C,2012-06-28,13:00:00,Correos de Costa Rica,GTM-XHQWLMKY5D2IRT,3,Guatemala,312
Pedro Rodriguez O,2012-06-29,7:00:00,GoPato,GTM-24QNTGERSR4ZED,3,Guatemala,408
Pedro Rodriguez O,2012-06-29,8:00:00,GoPato,NIC-D800N1YOFNW17I,2,Nicaragua,220
Javier Viquez T,2012-06-29,7:00:00,GoPato,PAN-57JD85IP51ZCGW,2,Panama,256
Javier Viquez T,2012-06-29,9:00:00,DHL,GTM-M2Q2W8R6YKHQPI,2,Guatemala,396
Victor Arias B,2012-06-30,13:00:00,DHL,NIC-0NAVQQILUXLFJI,2,Nicaragua,331
Juan Gomez H,2012-06-30,10:00:00,FedEx,PAN-YUAHFF1C36WVG2,2,Panama,315
